Alias,IATA,lat,lon,id
Yellowknife,YZF,62.4628,-114.44,191
Slave Lake,YZH,55.2931,-114.777,192
Sandspit,YZP,53.2543,-131.814,193
Sarnia,YZR,42.9994,-82.3089,194
Port Hardy,YZT,50.6806,-127.367,195
Whitecourt,YZU,54.1439,-115.787,196
Sept-iles,YZV,50.2233,-66.2656,197
Teslin,YZW,60.1728,-132.743,198
Greenwood,YZX,44.9844,-64.9169,199
Faro,ZFA,62.2075,-133.376,200
Fort Mcpherson,ZFM,67.4075,-134.861,201
Blida,QLD,36.5036,2.81417,202
Bou Saada,BUJ,35.3325,4.20639,203
Bejaja,BJA,36.712,5.06992,204
Algier,ALG,36.691,3.21541,205
Djanet,DJG,24.2928,9.45244,206
Illizi,VVZ,26.7235,8.62265,207
Tamanrasset,TMR,22.8115,5.45108,208
Jijel,GJL,36.7951,5.87361,209
Mecheria,MZW,33.5359,-0.242353,210
Annaba,AAE,36.8222,7.809174,211
Constantine,CZL,36.276,6.62039,212
Tebessa,TEE,35.4316,8.12072,213
Tilrempt,HRM,32.9304,3.31154,214
Tiaret,TID,35.3411,1.46315,215
Tindouf,TIN,27.7004,-8.1671,216
Ech-cheliff,CFK,36.2127,1.33177,217
Oran,TAF,35.5424,-0.532278,218
Tlemcen,TLM,35.0167,-1.45,219
Oran,ORN,35.6239,-0.621183,220
Sidi Bel Abbes,BFW,35.1718,-0.593275,221
Ghriss,MUW,35.2077,0.147142,222
Adrar,AZR,27.8376,-0.186414,223
Biskra,BSK,34.7933,5.73823,224
El Golea,ELG,30.5713,2.85959,225
Ghardaia,GHA,32.3841,3.79411,226
Hassi Messaoud,HME,31.673,6.14044,227
In Salah,INZ,27.251,2.51202,228
Touggourt,TGR,33.0678,6.08867,229
Laghouat,LOO,33.7644,2.92834,230
Timimoun,TMX,29.2371,0.276033,231
Ouargla,OGX,31.9172,5.41278,232
Zarzaitine,IAM,28.0515,9.64291,233
Cotonou,COO,6.35723,2.38435,234
Ouagadougou,OUA,12.3532,-1.51242,235
Bobo-dioulasso,BOY,11.1601,-4.33097,236
Accra,ACC,5.60519,-0.166786,237
Tamale,TML,9.55719,-0.863214,238
Sunyani,NYI,7.36183,-2.32876,239
Takoradi,TKD,4.89606,-1.77476,240
Abidjan,ABJ,5.26139,-3.92629,241
Bouake,BYK,7.7388,-5.07367,242
Daloa,DJO,6.79281,-6.47319,243
Korhogo,HGO,9.38718,-5.55666,244
Man,MJC,7.27207,-7.58736,245
San Pedro,SPY,4.74672,-6.66082,246
Yamoussoukro,ASK,6.90317,-5.36558,247
Abuja,ABV,9.00679,7.26317,248
Akure,AKR,7.24674,5.30101,249
Benin,BNI,6.31698,5.5995,250
Calabar,CBQ,4.97602,8.3472,251
